City_ID,City,Country,Max Temp,Cloudiness,Lat,Lng,Hotel Name
3,Bathsheba,BB,84.81,75,13.2167,-59.5167,Atlantis Hotel
7,Mahebourg,MU,81.25,40,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
17,Grand Gaube,MU,81.37,89,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
24,Arraial Do Cabo,BR,80.56,40,-22.9661,-42.0278,Pousada Porto Praia
27,Puerto Ayora,EC,80.56,91,-0.7393,-90.3518,Finch Bay Galapagos Hotel
39,Acari,PE,80.62,39,-15.4311,-74.6158,HOSPEDAJE XIMENA
50,Bambous Virieux,MU,81.21,40,-20.3428,57.7575,Casa Tia Villa
53,Avarua,CK,82.45,20,-21.2078,-159.775,Paradise Inn
55,San Felipe,VE,80.8,95,10.3399,-68.7425,Posada Llovizna Rodríguez
59,Isangel,VU,80.71,40,-19.55,169.2667,Tanna Lodge
65,Faanui,PF,80.71,100,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
77,Butaritari,KI,81.81,46,3.0707,172.7902,Isles Sunset Lodge
79,Quatre Cocos,MU,81.09,79,-20.2078,57.7625,Sunrise Attitude Hotel
101,Hithadhoo,MV,81.81,77,-0.6,73.0833,Scoop Guest House
102,Upata,VE,85.19,100,8.0086,-62.3989,Posada Villa Nela
109,Lorengau,PG,80.6,100,-2.0226,147.2712,Lorengau Harbourside Hotel
111,Saint-Pierre,RE,80.28,0,-21.3393,55.4781,Lindsey Hôtel
112,Paranaiba,BR,83.03,98,-19.6772,-51.1908,Villa Rica Park Hotel GMR
119,La Libertad,EC,82.06,0,-2.2333,-80.9,Playa Canela Hotel Boutique
123,Guerrero Negro,MX,81.52,15,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
125,Sao Joao Da Barra,BR,80.69,8,-21.6403,-41.0511,Pousada Porto De Canoas
142,Cabo San Lucas,MX,85.3,75,22.8909,-109.9124,Hotel Tesoro Los Cabos
148,Kavieng,PG,81.09,97,-2.5744,150.7967,Nusa Island Retreat
149,Cartagena,CO,87.42,20,10.3997,-75.5144,Hotel Colombia Real - Cartagena
150,Salinas,US,84.0,0,36.6777,-121.6555,Laurel Inn & Conference Center
161,Tiarei,PF,86.02,80,-17.5333,-149.3333,Le Rocher de Tahiti
163,Fare,PF,81.16,100,-16.7,-151.0167,Maitai Lapita Village Huahine
168,Gizo,SB,81.52,74,-8.103,156.8419,Imagination Island
175,Touros,BR,85.1,9,-5.1989,-35.4608,INN NEW HORIZON
181,Tutoia,BR,85.98,9,-2.7619,-42.2744,Pousada Guará's
183,Saint-Philippe,RE,80.19,34,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
210,Vaini,TO,82.56,40,-21.2,-175.2,Keleti Beach Resort
217,Mamallapuram,IN,80.06,25,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
218,Samana,DO,84.42,40,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
225,San Cristobal,VE,80.78,96,7.7669,-72.225,Posada Villaven C.A.
246,Souillac,MU,81.36,40,-20.5167,57.5167,Shanti Maurice Resort & Spa
248,Lompoc,US,85.21,0,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
249,Tecoanapa,MX,85.14,61,16.5167,-98.75,Hotel Manglares
278,Bull Savanna,JM,81.5,7,17.8868,-77.5902,Big Red's
286,Road Town,VG,80.69,40,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
292,Olinda,BR,83.93,75,-8.0089,-34.8553,Pousada Sitio Do Carmo
306,Cayenne,GF,82.44,75,4.9333,-52.3333,Hôtel Le Dronmi
309,Itaituba,BR,87.96,20,-4.2761,-55.9836,Hotel Campos
315,Kloulklubed,PW,80.89,100,7.0419,134.2556,Storyboard Beach Resort
318,Laguna De Perlas,NI,84.29,8,12.3429,-83.6712,Hotel Best View
319,Macas,EC,80.35,75,-2.3167,-78.1167,Casa Upano
322,Alta Floresta,BR,84.02,75,-9.8756,-56.0861,Floresta Amazonica Hotel
327,Rio Grande,BR,80.71,0,-32.035,-52.0986,Hotel Atlântico Rio Grande
331,Bairiki,KI,82.4,20,1.3292,172.9752,Tarawa Boutique Hotel
336,Afogados Da Ingazeira,BR,83.26,100,-7.7508,-37.6392,Hotel Brotas
340,Rawson,AR,88.18,0,-43.3002,-65.1023,Hosteria Sampedro
349,Vila Velha,BR,82.35,75,-20.3297,-40.2925,Quality Suites Vila Velha
371,Alofi,NU,82.29,40,-19.0595,-169.9187,Taloa Heights
380,Cordoba,AR,82.42,20,-31.4135,-64.1811,Hotel Sussex
384,Acarau,BR,80.51,7,-2.8856,-40.12,castelo pizzaria
409,Belmonte,BR,82.4,100,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
423,Bullhead City,US,83.93,0,35.1478,-114.5683,Harrah's Laughlin
458,Paita,PE,86.56,9,-5.0892,-81.1144,Hotel Náutico de Paita
